"provider_id","name","location_city","location_country"
"62", "Haitian Rum Distillers", "Port-au-Prince", "Haiti"
"63", "Cuba Cigar Manufacturers", "Havana", "Cuba"
"64", "Honduras Coffee Plantations", "Tegucigalpa", "Honduras"
"65", "Costa Rica Pineapple Growers", "San José", "Costa Rica"
"66", "Panama Cacao Bean Processors", "Panama City", "Panama"
"67", "Portuguese Winemakers", "Porto", "Portugal"
"68", "Irish Whiskey Distillery", "Cork", "Ireland"
"69", "Spanish Olive Oil Producers", "Seville", "Spain"
"70", "Greek Yogurt Makers", "Thessaloniki", "Greece"
"71", "Italian Truffle Farmers", "Alba", "Italy"
"72", "French Cheesemakers", "Lyon", "France"
"73", "Belgian Waffle Specialists", "Brussels", "Belgium"
"74", "Dutch Tulip Growers", "Amsterdam", "Netherlands"
"75", "Swedish Furniture Suppliers", "Stockholm", "Sweden"
"76", "Norwegian Salmon Farms", "Trondheim", "Norway"
"77", "Danish Pastry Bakers", "Copenhagen", "Denmark"
"78", "Austrian Chocolate Conciers", "Salzburg", "Austria"
"79", "Swiss Alp Herb Suppliers", "Interlaken", "Switzerland"
"80", "Polish Honey Producers", "Krakow", "Poland"
"81", "Czech Beer Brewers", "Plzen", "Czech Republic"
"82", "Hungarian Paprika Farmers", "Kalocsa", "Hungary"
"83", "Italian Olive Oil Importers", "Bologna", "Italy"
"84", "Spanish Saffron Growers", "La Mancha", "Spain"
"85", "French Winemakers", "Bordeaux", "France"
"86", "Belgian Chocolate Makers", "Ghent", "Belgium"
"87", "Dutch Flower Bulb Producers", "Keukenhof", "Netherlands"
"88", "Scottish Whisky Distillers", "Edinburgh", "Scotland"
"89", "American Bison Ranchers", "Montana", "United States"
"90", "Texan BBQ Sauce Makers", "Austin", "United States"
"91", "Floridian Citrus Growers", "Orlando", "United States"
"92", "California Winemakers", "Napa Valley", "United States"
"93", "Hawaiian Pineapple Producers", "Honolulu", "United States"
"94", "New York City Coffee Roasters", "New York City", "United States"
"95", "Chicago Deep Dish Pizza Bakers", "Chicago", "United States"
"96", "Los Angeles Food Truck Owners", "Los Angeles", "United States"
"97", "New Orleans Cajun Spice Importers", "New Orleans", "United States"
"98", "Boston Seafood Suppliers", "Boston", "United States"
"99", "Seattle Coffee Bean Roasters", "Seattle", "United States"
"100", "Philadelphia Cheesesteak Makers", "Philadelphia", "United States"
"101", "San Francisco Craft Beer Brewers", "San Francisco", "United States"
"102", "Denver Rocky Mountain Hops Growers", "Denver", "United States"
"103", "Las Vegas Culinary Supply Distributors", "Las Vegas", "United States"
"104", "Miami Cuban Coffee Importers", "Miami", "United States"
"105", "Atlanta Peach Farmers", "Atlanta", "United States"
"106", "Dallas Tex-Mex Restaurant Suppliers", "Dallas", "United States"
"107", "Minneapolis Organic Grain Producers", "Minneapolis", "United States"
"108", "St. Louis Barbecue Sauce Makers", "St. Louis", "United States"
