ingredient_rawmaterial_id,ingredient_id,raw_material_type_id
1080,166,188
1081,328,86
1082,147,9
1083,100,115
1084,179,39
1085,313,69
1086,271,199
1087,335,149
1088,215,49
1089,308,132
1090,307,6
1091,345,163
1092,274,109
1093,113,198
1094,254,133
1095,371,107
1096,288,6
1097,384,29
1098,135,148
1099,235,136
1100,104,73
1101,177,80
1102,352,5
1103,169,195
1104,193,28
1105,276,167
1106,308,141
1107,267,73
1108,232,75
1109,205,107
1110,160,26
1111,361,145
1112,243,175
1113,301,57
1114,297,28
1115,356,4
1116,375,7
1117,227,21
1118,396,158
1119,330,173
1120,158,129
1121,223,177
1122,208,3
1123,172,105
1124,358,126
1125,205,125
1126,227,187
1127,358,38
1128,232,75
1129,135,134
1130,285,133
1131,267,189
1132,312,36
1133,122,161
1134,215,116
1135,153,65
1136,295,186
1137,153,198
1138,136,101
1139,100,142
1140,332,84
1141,349,111
1142,335,44
1143,136,181
1144,166,102
1145,237,8
1146,191,60
1147,290,21
1148,345,190
1149,248,134
1150,105,126
1151,307,1
1152,272,3
1153,257,154
1154,169,62
1155,120,166
1156,339,159
1157,313,53
1158,352,90
1159,346,163
1160,129,76
1161,189,83
1162,263,20
1163,251,64
1164,371,152
1165,215,138
1166,250,181
1167,374,1
1168,203,186
1169,229,41
1170,169,178
1171,159,107
1172,250,52
1173,221,155
1174,214,41
1175,392,115
1176,143,41
1177,153,28
1178,352,146
1179,153,147
1180,209,166
1181,216,136
1182,362,151
1183,156,47
1184,167,2
1185,307,200
1186,249,78
1187,197,169
1188,358,151
1189,212,126
1190,153,51
1191,323,178
1192,189,200
1193,206,69
1194,172,192
1195,360,50
1196,368,99
1197,331,108
1198,309,160
1199,257,188
1200,318,199
1201,395,50
1202,166,29
1203,275,29
1204,359,132
1205,187,80
1206,165,150
1207,162,44
1208,110,143
1209,120,84
1210,210,165
1211,269,89
1212,155,37
1213,127,2
1214,247,26
1215,139,135
1216,292,92
1217,223,34
1218,378,59
1219,103,179
1220,352,87
1221,174,199
1222,242,14
1223,153,28
1224,303,152
1225,182,132
1226,166,75
1227,379,19
1228,271,134
1229,222,110
1230,304,28
1231,376,154
1232,127,71
1233,229,46
1234,207,197
1235,191,71
1236,277,28
1237,125,94
1238,365,102
1239,169,7
1240,331,169
1241,217,105
1242,396,166
1243,366,77
1244,151,3
1245,374,29
1246,332,55
1247,159,170
1248,156,34
1249,123,177
1250,184,111
1251,275,196
1252,180,78
1253,196,89
1254,292,154
1255,172,137
1256,200,12
1257,202,7
1258,133,90
1259,190,106
1260,249,48
1261,156,17
1262,199,193
1263,257,139
1264,129,162
1265,351,160
1266,168,43
1267,161,15
1268,158,99
1269,166,100
1270,120,47
1271,277,189
1272,242,134
1273,162,90
1274,251,36
1275,124,47
1276,157,145
1277,135,8
1278,230,102
1279,176,32
1280,258,91
1281,357,13
1282,161,127
1283,283,123
1284,133,149
1285,152,187
1286,153,24
1287,185,176
1288,314,11
1289,124,199
1290,115,16
1291,243,176
1292,340,18
1293,361,53
1294,371,112
1295,382,118
1296,178,145
1297,211,38
1298,165,15
1299,160,13
1300,105,154
1301,394,3
1302,356,98
1303,265,30
1304,191,71
1305,271,80
1306,141,152
1307,248,169
1308,169,55
1309,236,172
1310,199,38
1311,167,184
1312,294,56
1313,343,125
1314,194,62
1315,265,137
1316,237,52
1317,352,199
1318,251,32
1319,338,178
1320,254,174
1321,310,35
1322,345,19
1323,361,85
1324,105,180
1325,353,153
1326,263,129
1327,117,187
1328,285,100
1329,126,56
1330,207,192
1331,309,147
1332,174,24
1333,165,58
1334,243,78
1335,236,65
1336,251,52
1337,270,91
1338,199,138
1339,384,49
1340,112,52
1341,120,185
1342,125,159
1343,150,43
1344,156,81
1345,324,2
1346,352,34
1347,332,190
1348,331,139
1349,170,170
1350,125,113
1351,205,135
1352,397,77
1353,271,180
1354,368,83
1355,136,152
1356,221,125
1357,148,102
1358,162,12
1359,285,164
1360,234,147
1361,285,48
1362,212,95
1363,302,190
1364,373,167
1365,339,67
1366,371,124
1367,111,151
1368,372,68
1369,244,147
1370,170,130
1371,362,39
1372,241,194
1373,127,62
1374,295,67
1375,130,57
1376,216,37
1377,208,188
1378,261,84
1379,376,89
1380,108,185
1381,176,15
1382,302,179
1383,317,22
1384,238,151
1385,194,10
1386,158,65
1387,212,66
1388,295,86
1389,159,180
1390,110,72
1391,118,95
1392,265,61
1393,203,148
1394,194,84
1395,164,49
1396,186,92
1397,220,35
1398,307,67
1399,323,176
1400,196,128
1401,158,103
1402,357,159
1403,344,108
1404,271,6
1405,289,100
1406,201,48
1407,196,145
1408,154,125
1409,256,2
1410,251,51
1411,217,83
1412,102,190
1413,329,108
1414,316,120
1415,326,80
1416,296,173
1417,101,148
1418,273,13
1419,350,178
1420,194,158
1421,141,170
1422,130,126
1423,116,92
1424,263,178
1425,163,140
1426,348,62
1427,300,50
1428,146,122
1429,357,149
1430,183,77
1431,385,123
1432,362,72
1433,126,95
1434,356,1
1435,340,32
1436,260,179
1437,394,10
1438,199,30
1439,387,60
1440,359,193
1441,258,37
1442,249,48
1443,315,19
1444,314,91
1445,101,186
1446,191,174
1447,272,69
1448,305,198
1449,148,171
1450,184,31
1451,284,169
1452,140,111
1453,165,129
1454,111,133
1455,164,4
1456,106,100
1457,251,129
1458,354,142
1459,177,2
1460,187,39
1461,164,15
1462,183,143
1463,359,49
1464,146,35
1465,378,45
1466,374,177
1467,377,186
1468,351,14
1469,147,129
1470,225,7
1471,215,1
1472,185,32
1473,132,44
1474,383,27
1475,110,98
1476,281,72
1477,232,128
1478,249,53
1479,159,164
1480,336,67
1481,113,159
1482,271,22
1483,172,135
1484,201,86
1485,281,120
1486,223,46
1487,216,127
1488,196,57
1489,258,19
1490,152,172
1491,250,64
1492,187,91
1493,251,193
1494,308,52
1495,343,121
1496,356,138
1497,293,127
1498,142,79
1499,395,156
1500,384,2
1501,254,169
1502,339,200
1503,116,153
1504,330,170
1505,132,97
1506,317,115
1507,202,56
1508,153,101
1509,234,159
1510,367,95
1511,355,190
1512,210,68
1513,221,191
1514,258,194
1515,372,75
1516,167,86
1517,316,104
1518,223,9
1519,394,60
1520,272,89
1521,197,145
1522,162,183
1523,317,77
1524,109,144
1525,165,84
1526,232,50
1527,272,76
1528,388,85
1529,327,53
1530,257,43
1531,390,163
1532,264,189
1533,377,58
1534,166,108
1535,286,164
1536,365,41
1537,320,9
1538,183,161
1539,112,100
1540,112,177
1541,128,126
1542,362,58
1543,340,194
1544,301,16
1545,309,60
1546,297,69
1547,114,94
1548,167,93
1549,275,57
1550,244,85
1551,344,188
1552,361,101
1553,122,188
1554,136,183
1555,373,113
1556,144,68
1557,190,128
1558,201,138
1559,126,178
1560,295,11
1561,144,64
1562,260,100
1563,287,153
1564,197,32
1565,326,171
1566,149,57
1567,313,169
1568,386,99
1569,351,183
1570,225,149
1571,242,167
1572,213,36
1573,156,126
1574,160,46
1575,275,1
1576,370,144
1577,167,46
1578,233,149
1579,205,72
1580,170,35
1581,396,34
1582,164,91
1583,256,7
1584,233,53
1585,234,36
1586,155,190
1587,239,171
1588,150,119
1589,170,109
1590,109,19
1591,305,98
1592,219,172
1593,364,88
1594,172,131
1595,152,86
1596,237,90
1597,343,188
1598,135,112
1599,237,193
1600,225,168
1601,369,137
1602,264,166
1603,210,169
1604,276,72
1605,104,39
1606,367,36
1607,287,171
1608,206,60
1609,389,148
1610,288,122
1611,321,40
1612,130,26
1613,240,52
1614,241,139
1615,397,132
1616,207,89
1617,174,160
1618,345,82
1619,385,12
1620,263,50
1621,281,34
1622,118,158
1623,169,109
1624,386,66
1625,155,157
1626,327,39
1627,143,2
1628,342,157
1629,123,102
1630,302,8
1631,151,44
1632,114,34
1633,310,127
1634,375,45
1635,135,41
1636,209,171
1637,190,97
1638,366,124
1639,351,159
1640,312,51
1641,330,103
1642,180,101
1643,146,175
1644,353,111
1645,216,87
1646,146,196
1647,163,108
1648,196,112
1649,237,57
1650,372,123
1651,392,83
1652,353,13
1653,136,71
1654,315,2
1655,182,83
1656,215,131
1657,266,38
1658,395,25
1659,347,140
1660,398,174
1661,118,49
1662,253,42
1663,349,145
1664,385,159
1665,238,122
1666,309,97
1667,293,64
1668,217,197
1669,316,139
1670,197,173
1671,161,70
1672,183,70
1673,186,126
1674,320,190
1675,332,157
1676,274,85
1677,290,34
1678,319,7
1679,274,31
1680,130,138
1681,154,7
1682,363,187
1683,253,57
1684,273,143
1685,369,142
1686,356,177
1687,277,107
1688,130,7
1689,151,131
1690,391,89
1691,355,29
1692,348,184
1693,140,149
1694,132,166
1695,341,49
1696,251,103
1697,165,74
1698,364,43
1699,184,77
1700,306,16
1701,365,197
1702,348,40
1703,184,183
1704,177,28
1705,281,2
1706,100,109
1707,216,73
1708,197,2
1709,352,174
1710,336,27
1711,159,36
1712,275,137
1713,331,81
1714,274,199
1715,295,54
1716,232,97
1717,226,37
1718,297,24
1719,176,110
1720,355,112
1721,312,78
1722,315,134
1723,237,132
1724,244,32
1725,330,105
1726,343,107
1727,230,4
1728,182,19
1729,252,135
1730,375,115
1731,212,177
1732,114,1
1733,290,41
1734,351,149
1735,144,75
1736,301,38
1737,360,114
1738,224,185
1739,100,163
1740,294,23
1741,181,10
1742,386,17
1743,180,52
1744,393,115
1745,303,176
1746,105,42
1747,365,98
1748,364,3
1749,169,92
1750,162,74
1751,129,59
1752,146,115
1753,208,116
1754,339,81
1755,116,58
1756,102,81
1757,246,118
1758,179,2
1759,252,129
1760,216,147
1761,370,96
1762,398,56
1763,122,60
1764,243,123
1765,237,28
1766,199,187
1767,218,138
1768,368,44
1769,209,48
1770,216,195
1771,350,149
1772,233,59
1773,141,159
1774,307,153
1775,282,6
1776,122,88
1777,347,155
1778,276,114
1779,233,100
1780,387,172
1781,192,117
1782,352,165
1783,167,3
1784,155,43
1785,119,32
1786,279,10
1787,237,183
1788,374,145
1789,198,11
1790,230,170
1791,223,64
1792,148,126
1793,322,173
1794,245,59
1795,252,197
1796,115,196
1797,199,121
1798,262,11
1799,236,11
1800,148,133
1801,277,154
1802,328,138
1803,301,93
1804,234,87
1805,336,117
1806,252,194
1807,254,99
1808,217,73
1809,257,195
1810,127,168
1811,342,116
1812,152,181
1813,110,197
1814,133,74
1815,350,46
1816,350,86
1817,333,136
1818,247,96
1819,366,186
1820,181,177
1821,117,25
1822,282,84
1823,215,75
1824,281,173
1825,122,40
1826,329,132
1827,360,149
1828,369,77
1829,381,174
1830,134,13
1831,356,176
1832,158,138
1833,113,120
1834,176,111
1835,321,67
1836,378,163
1837,215,67
1838,190,173
1839,387,51
1840,102,158
1841,142,64
1842,363,147
1843,289,187
1844,155,54
1845,227,15
1846,327,24
1847,358,115
1848,144,117
1849,182,77
1850,352,19
1851,272,100
1852,161,24
1853,266,168
1854,397,168
1855,221,16
1856,381,16
1857,149,119
1858,276,18
1859,189,108
1860,157,45
1861,109,68
1862,130,200
1863,280,22
1864,295,83
1865,212,115
1866,317,185
1867,102,128
1868,151,118
1869,300,178
1870,140,81
1871,325,189
1872,193,151
1873,227,81
1874,278,140
1875,352,121
1876,324,70
1877,371,1
1878,317,96
1879,315,11
1880,336,31
1881,158,166
1882,232,141
1883,164,165
1884,376,199
1885,231,175
1886,293,189
1887,351,119
1888,256,94
1889,195,98
1890,108,182
1891,267,153
1892,207,181
1893,337,66
1894,345,140
1895,118,159
1896,234,7
1897,334,83
1898,210,122
1899,244,12
1900,259,1
1901,185,138
1902,218,88
1903,344,18
1904,118,75
1905,111,79
1906,330,99
1907,344,22
1908,259,22
1909,383,44
1910,219,145
1911,193,6
1912,181,37
1913,370,100
1914,165,20
1915,141,12
1916,281,54
1917,256,191
1918,289,132
1919,183,178
1920,280,176
1921,205,98
1922,360,103
1923,306,108
1924,396,165
1925,120,137
1926,185,115
1927,173,59
1928,290,78
1929,223,111
1930,374,71
1931,319,135
1932,205,43
1933,372,18
1934,228,103
1935,324,186
1936,317,58
1937,353,41
1938,242,111
1939,222,129
1940,245,45
1941,121,175
1942,313,197
1943,225,155
1944,193,71
1945,381,159
1946,198,120
1947,251,185
1948,116,124
1949,355,55
1950,269,69
1951,124,110
1952,306,78
1953,185,111
1954,395,94
1955,122,23
1956,338,124
1957,194,129
1958,254,139
1959,217,98
1960,105,106
1961,251,48
1962,323,163
1963,292,112
1964,133,125
1965,343,91
1966,338,121
1967,213,84
1968,191,142
1969,307,176
1970,145,1
1971,205,131
1972,308,12
1973,379,35
1974,283,185
1975,169,179
1976,243,164
1977,254,110
1978,167,67
1979,378,6
1980,289,90
1981,189,56
1982,106,159
1983,241,174
1984,363,199
1985,172,193
1986,311,11
1987,311,56
1988,231,67
1989,243,17
1990,390,36
1991,226,115
1992,122,17
1993,306,198
1994,344,180
1995,193,136
1996,375,23
1997,389,164
1998,104,100
1999,260,33
2000,266,141
2001,228,92
2002,353,176
2003,208,83
2004,302,123
2005,311,40
2006,325,176
2007,359,157
2008,139,181
2009,299,82
2010,300,107
2011,214,65
2012,200,128
2013,335,194
2014,334,131
2015,256,96
2016,234,84
2017,135,23
2018,260,5
2019,137,80
2020,325,153
2021,331,50
2022,354,40
2023,364,135
2024,346,148
2025,365,120
2026,157,19
2027,168,174
2028,271,41
2029,390,126
2030,159,137
2031,359,104
2032,132,183
2033,236,189
2034,142,45
2035,101,42
2036,153,73
2037,379,133
2038,224,32
2039,242,19
2040,346,113
2041,251,91
2042,273,48
2043,223,59
2044,397,5
2045,139,61
2046,210,128
2047,281,21
2048,346,20
2049,141,186
2050,284,101
2051,145,142
2052,186,199
2053,355,28
2054,283,141
2055,240,101
2056,299,98
2057,218,87
2058,275,199
2059,387,11
2060,293,42
2061,274,105
2062,169,183
2063,268,138
2064,324,54
2065,296,10
2066,138,96
2067,355,104
2068,215,135
2069,306,115
2070,166,154
2071,398,18
2072,294,89
2073,198,88
2074,382,3
2075,197,19
2076,220,66
2077,279,176
2078,115,200
2079,150,60
2080,357,120
2081,294,193
2082,172,123
2083,313,43
2084,245,181
2085,253,78
2086,231,11
2087,380,174
2088,358,92
2089,395,66
2090,180,41
2091,112,174
2092,234,2
2093,377,36
2094,300,119
2095,262,135
2096,226,143
2097,354,11
2098,226,193
2099,171,172
2100,283,93
2101,240,17
2102,205,125
2103,255,109
2104,220,197
2105,320,162
2106,124,44
2107,385,66
2108,394,134
2109,218,187
2110,228,128
2111,184,14
2112,174,64
2113,386,85
2114,161,110
2115,199,126
2116,230,154
2117,227,41
2118,284,179
2119,154,34
2120,232,65
2121,379,2
2122,322,97
2123,170,161
2124,212,10
2125,320,48
2126,339,64
2127,233,54
2128,250,21
2129,292,137
2130,115,167
2131,259,15
2132,329,194
2133,233,24
